player,elo
Patrick Mcenroe,1463.4547164828718
Michal Przysiezny,1520.1473219621093
Ricardo Hocevar,1490.0
Antonio Veic,1509.8923745685963
Hicham Arazi,1489.9481272448083
Jan Kroslak,1520.1834089954161
Constant Lestienne,1490.0099078852584
Ilya Ivashka,1484.2502228834608
Rafael Jodar,1589.8165235605445
Michael Geerts,1476.1294826759831
Michael Russell,1486.1639328592205
Ivan Ljubicic,1555.7120115286448
Joshua Sheehy,1490.0
Akira Santillan,1506.8514675320143
Yuichi Ito,1490.0
Magnus Larsson,1476.2825130781973
Nicolas Massu,1460.7254843556047
Mark Petchey,1493.1528925477767
Manuel Orantes,1519.1129312168175
Somdev Devvarman,1522.460061080948
Daniel Altmaier,1504.7823700959982
Borna Gojo,1517.518949857468
Vit Kopriva,1468.16953904591
Maximilian Marterer,1473.590338372476
Henri Leconte,1519.5878552785048
Federico Agustin Gomez,1520.0
Dudi Sela,1478.4088134359652
Mitchell Krueger,1480.5750112778453
Dario Acosta,1510.3537066274152
Mike Bryan,1503.4690445260298
Jeff Tarango,1507.5965501699939
Miloslav Mecir,1472.937473571243
Emilio Sanchez,1538.384204072977
Chris Woodruff,1528.0779911969862
Hugo Dellien,1492.0907622599075
Camilo Ugo Carabelli,1448.3937823345075
Moise Kouame,1487.421391658871
Alexander Volkov,1460.5079761236568
Milos Sekulic,1518.8499774443092
John Marks,1518.820181412161
Michael Berrer,1486.3012018728607
Ruben Bemelmans,1482.4069766337368
Evan King,1490.5585142891052
Nicolas Moreno De Alboran,1506.9543823142535
Marcel Freeman,1490.3170929013095
Juan Monaco,1425.0455613038675
Thomas Muster,1437.7193214350193
Marc Sieber,1509.4933067473366
Antoine Bellier,1518.3288223534048
Ugo Blanchet,1527.7519109495786
Yoshihito Nishioka,1413.3937813261725
Adrian Garcia,1487.7710936185183
Tim Smyczek,1490.8392943669446
Peter Polansky,1518.0229291703886
Borna Coric,1356.6336486360265
Minhtuan Pham,1490.0
Hady Habib,1496.3660999639221
Mariano Navone,1426.911480863571
Bjorn Fratangelo,1473.4562783195715
Andrew Harris,1520.0
Zizou Bergs,1405.9109320541588
Yi Zhou,1495.9835427514893
